start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Mon Mar 27 06:43:07 UTC 2023,Mon Mar 27 06:58:07 UTC 2023,"4","8","15","30","11.904054877734445","11.904054877734445","16.7570885178667","16.7570885178667","4.588341364966679","0.0016404123147468702","0.0008187717641197842","0.0016363190106074444"
Mon Mar 27 06:58:07 UTC 2023,Mon Mar 27 07:13:08 UTC 2023,"4","8","15","30","24.08014986886322","12.04007493443161","36.969720002900004","18.912702447500003","5.065730286666652","0.00003027860459770108","0.000015139302298850539","0.0000275998045977011"
Mon Mar 27 07:13:08 UTC 2023,Mon Mar 27 07:28:08 UTC 2023,"4","8","15","30","24.336559259413328","12.168279629706664","35.31047002846668","18.342507160366708","5.270337441433245","0.000008465004597701178","0.000004232502298850589","0.000007318767816091897"
Mon Mar 27 07:28:08 UTC 2023,Mon Mar 27 07:43:09 UTC 2023,"4","8","15","30","23.95972526792001","11.979862633960005","35.43404147759999","19.346799109199978","6.063749798266629","0.000013939429885057288","0.000006969714942528644","0.000008001071264367725"
Mon Mar 27 07:43:09 UTC 2023,Mon Mar 27 07:58:09 UTC 2023,"4","8","15","30","24.05832405132222","12.02916202566111","36.00529455509992","18.728101570533422","5.446396347633466","0.000011532148275862011","0.0000057660741379310055","0.000009150951724137857"
Mon Mar 27 07:58:09 UTC 2023,Mon Mar 27 08:13:10 UTC 2023,"4","8","15","30","24.653497707840003","12.326748853920002","34.17543436796696","17.869605502700143","7.17714813403339","0.000019621065517241505","0.000009810532758620752","0.00001030160689655196"
Mon Mar 27 08:13:10 UTC 2023,Mon Mar 27 08:28:10 UTC 2023,"4","8","15","30","24.030352056262217","12.015176028131108","34.86512092293342","18.985237167000015","5.573678198500177","0.000008106982758620776","0.000004053491379310388","0.00000467608735632193"
Mon Mar 27 08:28:10 UTC 2023,Mon Mar 27 08:43:11 UTC 2023,"4","8","15","30","24.1999484176089","12.09997420880445","35.766513982900264","18.926632404900253","5.803775341600218","0.000008433632183908187","0.000004216816091954094","0.000006149863218390759"
Mon Mar 27 08:43:11 UTC 2023,Mon Mar 27 08:58:11 UTC 2023,"4","8","15","30","23.79639766669444","11.89819883334722","33.80354742263299","17.114154370899875","5.770573125566686","0.000004083302298850639","0.0000020416511494253194","0.000002288575862068984"
Mon Mar 27 08:58:11 UTC 2023,Mon Mar 27 09:13:12 UTC 2023,"4","8","15","30","10.526442054641116","5.263221027320558","14.543260255666489","8.127297136599857","2.7608646754335497","0","0","0"
Mon Mar 27 09:13:12 UTC 2023,Mon Mar 27 09:28:12 UTC 2023,"4","8","15","30","10.43731247719665","5.218656238598325","15.767080291399907","8.064490661166685","2.8391663577999378","0","0","0"
Mon Mar 27 09:28:12 UTC 2023,Mon Mar 27 09:43:13 UTC 2023,"4","8","15","30","10.563115912311122","5.281557956155561","13.805561189333094","7.305402434533365","2.790669195733305","0","0","0"
Mon Mar 27 09:43:13 UTC 2023,Mon Mar 27 09:58:13 UTC 2023,"4","8","15","30","10.514752665471104","5.257376332735552","15.928933237100136","8.33463092656651","2.2878985999331536","0","0","0"
Mon Mar 27 09:58:13 UTC 2023,Mon Mar 27 10:13:14 UTC 2023,"4","8","15","30","10.408977670823338","5.204488835411669","14.296295416133459","7.17307117270005","1.9761203457669276","0","0","0"
Mon Mar 27 10:13:14 UTC 2023,Mon Mar 27 10:28:14 UTC 2023,"4","8","15","30","10.432475562715553","5.216237781357776","14.771424174599815","7.528625508433227","2.931410835366599","0","0","0"
Mon Mar 27 10:28:14 UTC 2023,Mon Mar 27 10:43:15 UTC 2023,"4","8","15","30","10.431612614458878","5.215806307229439","14.940754423533509","8.226393999466866","2.4118457707333922","0","0","0"
Mon Mar 27 10:43:15 UTC 2023,Mon Mar 27 10:58:15 UTC 2023,"4","8","15","30","10.538670288566676","5.269335144283338","16.184573602466358","8.096673004499946","1.8369172336664632","0","0","0"
Mon Mar 27 10:58:15 UTC 2023,Mon Mar 27 11:13:16 UTC 2023,"4","8","15","30","5.0824671591944455","2.5412335795972227","7.432528598000257","3.7699286838668438","1.2914396806998412","0","0","0"
Mon Mar 27 11:13:16 UTC 2023,Mon Mar 27 11:28:16 UTC 2023,"4","8","15","30","5.043625297103314","2.521812648551657","7.09831573759972","3.6565765763332214","1.0990611838666762","0","0","0"
Mon Mar 27 11:28:16 UTC 2023,Mon Mar 27 11:43:17 UTC 2023,"4","8","15","30","5.083049812306691","2.5415249061533456","6.759233575399655","3.4388371086999543","1.3233622899662199","0","0","0"
Mon Mar 27 11:43:17 UTC 2023,Mon Mar 27 11:58:17 UTC 2023,"4","8","15","30","5.133971052332232","2.566985526166116","7.0057240552666675","3.856166001733315","1.3863181365663573","0","0","0"
Mon Mar 27 11:58:17 UTC 2023,Mon Mar 27 12:13:18 UTC 2023,"4","8","15","30","5.076977549575547","2.5384887747877736","6.62448985996695","3.354679844333441","1.3732506378660523","0","0","0"
Mon Mar 27 12:13:18 UTC 2023,Mon Mar 27 12:28:18 UTC 2023,"4","8","15","30","5.0377142849744345","2.5188571424872173","7.005397326733025","3.8125643994329343","1.198067541066363","0","0","0"
Mon Mar 27 12:28:18 UTC 2023,Mon Mar 27 12:43:19 UTC 2023,"4","8","15","30","5.071580733821126","2.535790366910563","7.029408927867189","3.7328205361001894","1.1856819999666186","0","0","0"
Mon Mar 27 12:43:19 UTC 2023,Mon Mar 27 12:58:19 UTC 2023,"4","8","15","30","5.038615816879966","2.519307908439983","7.619523171667242","3.9183798280670694","1.196295939066719","0.15414080187104692","0.07706311396331902","0.1541336026936883"
Mon Mar 27 12:58:19 UTC 2023,Mon Mar 27 13:13:20 UTC 2023,"4","8","15","30","26.517489115012253","13.258744557506127","40.55426310119995","21.51403066893302","6.327507196433726","18.7167352996954","9.3583676498477","9.415650279522989"
Mon Mar 27 13:13:20 UTC 2023,Mon Mar 27 13:28:20 UTC 2023,"4","8","15","30","27.2806522482122","13.6403261241061","37.88546591976677","18.985306657032925","8.190578646866681","19.2236167893","9.61180839465","9.741005271371264"
Mon Mar 27 13:28:20 UTC 2023,Mon Mar 27 13:43:21 UTC 2023,"4","8","15","30","27.114270256198914","13.557135128099457","35.97728423620089","18.11544057726666","6.5182920551334975","19.161923591008044","9.580961795504022","9.784876104493103"
Mon Mar 27 13:43:21 UTC 2023,Mon Mar 27 13:58:21 UTC 2023,"4","8","15","30","27.108154204355543","13.554077102177772","40.88683359736751","20.659548512700713","6.009599276500134","18.580116916964364","9.290058458482182","9.416414472241376"
Mon Mar 27 13:58:21 UTC 2023,Mon Mar 27 14:13:22 UTC 2023,"4","8","15","30","27.547498764469992","13.773749382234996","38.77742480100036","19.858720837533475","7.077396530800615","18.942436927483","9.4712184637415","9.508316770965754"
Mon Mar 27 14:13:22 UTC 2023,Mon Mar 27 14:28:22 UTC 2023,"4","8","15","30","27.07853052593558","13.53926526296779","39.10131329200037","20.26698420663403","7.384467992300051","18.989320492923135","9.494660246461567","9.627992616887504"
Mon Mar 27 14:28:22 UTC 2023,Mon Mar 27 14:43:23 UTC 2023,"4","8","15","30","26.960654029014435","13.480327014507218","34.931780830766854","17.784476271133947","7.903707492433993","19.12149580401421","9.560747902007105","9.77020759532915"
Mon Mar 27 14:43:23 UTC 2023,Mon Mar 27 14:58:23 UTC 2023,"4","8","15","30","27.05372477347002","13.52686238673501","39.17297180136666","20.23488861990045","5.430750349800413","19.03515264909656","9.51757632454828","9.625894841493107"
Mon Mar 27 14:58:23 UTC 2023,Mon Mar 27 15:13:24 UTC 2023,"4","8","15","30","10.711796037381092","5.355898018690546","29.56398389236613","17.541297352166534","1.7952242116327397","0","0","0"
Mon Mar 27 15:13:24 UTC 2023,Mon Mar 27 15:28:24 UTC 2023,"4","8","15","30","9.918194912158878","4.959097456079439","14.63664142273289","7.708170769700276","1.9390707243670477","0","0","0"
Mon Mar 27 15:28:24 UTC 2023,Mon Mar 27 15:43:25 UTC 2023,"4","8","15","30","10.0277606085478","5.0138803042739","12.912351433034443","6.768386025733586","3.0842744789338514","0","0","0"
Mon Mar 27 15:43:25 UTC 2023,Mon Mar 27 15:58:26 UTC 2023,"4","8","15","30","10.023735991096638","5.011867995548319","15.397615166265556","7.737415130566418","2.4982201706327034","0","0","0"
Mon Mar 27 15:58:26 UTC 2023,Mon Mar 27 16:13:26 UTC 2023,"4","8","15","30","10.109195258932239","5.0545976294661195","14.176002167899666","7.258277859732819","2.178508140800598","0","0","0"
Mon Mar 27 16:13:26 UTC 2023,Mon Mar 27 16:28:27 UTC 2023,"4","8","15","30","10.013881353668888","5.006940676834444","14.199554145266301","7.896571790599652","2.310442645634369","0","0","0"
Mon Mar 27 16:28:27 UTC 2023,Mon Mar 27 16:43:27 UTC 2023,"4","8","15","30","9.98155948742448","4.99077974371224","15.428359611066602","7.803408329334343","2.2538474406988827","0","0","0"
Mon Mar 27 16:43:27 UTC 2023,Mon Mar 27 16:58:28 UTC 2023,"4","8","15","30","9.923759162452189","4.9618795812260945","14.28918335190198","7.477240756200627","2.167174672932985","0","0","0"
Mon Mar 27 16:58:28 UTC 2023,Mon Mar 27 17:13:28 UTC 2023,"4","8","15","30","3.0319840958255293","1.5159920479127647","9.76479948386744","5.531702179234708","0.6494826182334994","0","0","0"
Mon Mar 27 17:13:28 UTC 2023,Mon Mar 27 17:28:29 UTC 2023,"4","8","15","30","2.7212860939266914","1.3606430469633457","3.888516016533443","2.253842123733678","0.6934679679339751","0","0","0"
Mon Mar 27 17:28:29 UTC 2023,Mon Mar 27 17:43:29 UTC 2023,"4","8","15","30","2.79608613353449","1.398043066767245","4.247420237733362","2.3653520896002496","0.5744329716001327","0","0","0"
Mon Mar 27 17:43:29 UTC 2023,Mon Mar 27 17:58:30 UTC 2023,"4","8","15","30","2.753478337776679","1.3767391688883395","3.7730407289986037","2.098013224833024","0.8074010852006419","0","0","0"
Mon Mar 27 17:58:30 UTC 2023,Mon Mar 27 18:13:30 UTC 2023,"4","8","15","30","2.7771066830743805","1.3885533415371902","4.088104741467395","2.1959716239672464","0.5354451360995881","0","0","0"
Mon Mar 27 18:13:30 UTC 2023,Mon Mar 27 18:28:31 UTC 2023,"4","8","15","30","2.771768675528907","1.3858843377644534","3.584784264899402","1.94377220159901","0.7017012141334514","0","0","0"
Mon Mar 27 18:28:31 UTC 2023,Mon Mar 27 18:43:31 UTC 2023,"4","8","15","30","2.7653403090900337","1.3826701545450168","4.17217757103111","2.171141146232064","0.5915543887007516","0","0","0"
Mon Mar 27 18:43:31 UTC 2023,Mon Mar 27 18:58:32 UTC 2023,"4","8","15","30","2.852559741377739","1.4262798706888695","3.8836750073339017","1.9810056162668237","0.6990132246321689","0","0","0"
Mon Mar 27 18:58:32 UTC 2023,Mon Mar 27 19:13:32 UTC 2023,"4","8","15","30","4.868584967313347","2.4342924836566735","6.753604436632789","3.423325608699815","0.8875421063664058","0","0","0"
Mon Mar 27 19:13:32 UTC 2023,Mon Mar 27 19:28:33 UTC 2023,"4","8","15","30","4.944588730378891","2.4722943651894456","6.896800602799825","3.7793360841673955","1.2974295332659191","0","0","0"
Mon Mar 27 19:28:33 UTC 2023,Mon Mar 27 19:43:33 UTC 2023,"4","8","15","30","4.968987609632249","2.4844938048161245","7.216983906633686","3.612897501633658","1.3364552686340176","0","0","0"
Mon Mar 27 19:43:33 UTC 2023,Mon Mar 27 19:58:34 UTC 2023,"4","8","15","30","4.958912894289954","2.479456447144977","6.913307052967139","3.5500341835664586","1.4572159670991822","0","0","0"
Mon Mar 27 19:58:34 UTC 2023,Mon Mar 27 20:13:34 UTC 2023,"4","8","15","30","4.948549589834421","2.4742747949172106","7.432057755331819","3.999423439166276","0.9866010662653328","0","0","0"
Mon Mar 27 20:13:34 UTC 2023,Mon Mar 27 20:28:35 UTC 2023,"4","8","15","30","4.958570675782265","2.4792853378911324","7.518366035968453","3.9451320989678305","1.0623843227668355","0","0","0"
Mon Mar 27 20:28:35 UTC 2023,Mon Mar 27 20:43:35 UTC 2023,"4","8","15","30","4.978977671041114","2.489488835520557","7.017964244034374","3.8497633107336395","1.1315465695011275","0","0","0"
Mon Mar 27 20:43:35 UTC 2023,Mon Mar 27 20:58:36 UTC 2023,"4","8","15","30","4.987483239590009","2.4937416197950046","7.7386879127996515","3.8705650888674428","1.4202987449340678","0","0","0"
Mon Mar 27 20:58:36 UTC 2023,Mon Mar 27 21:13:36 UTC 2023,"4","8","15","30","21.28387222237555","10.641936111187775","34.761277282267116","17.56409329616581","2.00342843499966","0.000050627870131257243","0.000025313935065628622","0.000050627870131257243"
Mon Mar 27 21:13:36 UTC 2023,Mon Mar 27 21:28:37 UTC 2023,"4","8","15","30","22.882155213269996","11.441077606634998","33.54185739453533","18.633316039967273","5.840334521633728","0","0","0"
Mon Mar 27 21:28:37 UTC 2023,Mon Mar 27 21:43:37 UTC 2023,"4","8","15","30","23.873261474717747","11.936630737358874","33.605217088599844","17.36508338143273","5.998011792534574","0","0","0"
Mon Mar 27 21:43:37 UTC 2023,Mon Mar 27 21:58:38 UTC 2023,"4","8","15","30","24.01227898695448","12.00613949347724","36.755959135332766","18.919778455766693","5.422370964100507","0","0","0"
Mon Mar 27 21:58:38 UTC 2023,Mon Mar 27 22:13:38 UTC 2023,"4","8","15","30","23.907969572089943","11.953984786044972","34.07255574600034","17.83936564846663","6.498386618167085","0","0","0"
Mon Mar 27 22:13:38 UTC 2023,Mon Mar 27 22:28:39 UTC 2023,"4","8","15","30","24.741796245148873","12.370898122574436","36.10355210799996","18.595061510999223","6.308660018166605","0.0000011440413842116879","0.0000005720206921058439","0.0000011440413842116879"
Mon Mar 27 22:28:39 UTC 2023,Mon Mar 27 22:43:39 UTC 2023,"4","8","15","30","25.753935450518945","12.876967725259473","34.806979152100396","17.43411406923357","6.130142978567164","0.0004988948252900428","0.0002494474126450214","0.0004988948252900428"
Mon Mar 27 22:43:39 UTC 2023,Mon Mar 27 22:58:40 UTC 2023,"4","8","15","30","25.810635620768878","12.905317810384439","39.236037049000146","20.16435870096708","6.521856923166585","0.0005372331551632085","0.00026861657758160424","0.0005372331551632085"
Mon Mar 27 22:58:40 UTC 2023,Mon Mar 27 23:13:40 UTC 2023,"4","8","15","30","6.075487835392254","3.037743917696127","29.661615304099783","16.3803974570008","1.1070708931656554","0","0","0"
Mon Mar 27 23:13:40 UTC 2023,Mon Mar 27 23:28:41 UTC 2023,"4","8","15","30","4.1505262504722396","2.0752631252361198","6.3080145100325655","3.3936374504332587","1.0542646211998847","0","0","0"
Mon Mar 27 23:28:41 UTC 2023,Mon Mar 27 23:43:41 UTC 2023,"4","8","15","30","4.126367753300066","2.063183876650033","6.12391012176716","3.0682086161667637","1.0353687232670685","0","0","0"
Mon Mar 27 23:43:41 UTC 2023,Mon Mar 27 23:58:42 UTC 2023,"4","8","15","30","4.182375976577751","2.0911879882888753","6.1789815024996635","3.1427410602666592","1.0476455421672048","0","0","0"
Mon Mar 27 23:58:42 UTC 2023,Tue Mar 28 00:13:42 UTC 2023,"4","8","15","30","4.198370759062236","2.099185379531118","6.2787733759343","3.249275942633782","0.8256247196676365","0","0","0"
Tue Mar 28 00:13:42 UTC 2023,Tue Mar 28 00:28:42 UTC 2023,"4","8","15","30","4.073141194211074","2.036570597105537","6.200223547231872","3.16761583823245","0.8490327527668948","0","0","0"
Tue Mar 28 00:28:43 UTC 2023,Tue Mar 28 00:43:43 UTC 2023,"4","8","15","30","3.98408636111889","1.992043180559445","5.904323054599809","3.2735426886666876","1.077693577465834","0","0","0"
Tue Mar 28 00:43:43 UTC 2023,Tue Mar 28 00:58:44 UTC 2023,"4","8","15","30","3.995773672599979","1.9978868362999895","5.212402027100325","2.8413184159008478","0.9356466155014156","0","0","0"
Tue Mar 28 00:58:44 UTC 2023,Tue Mar 28 01:13:44 UTC 2023,"4","8","15","30","14.321329457825566","7.160664728912783","21.004880907665935","11.12938323043248","1.9125410898996051","0.04230341412528116","0.02115170706264058","0.028155521427591642"
Tue Mar 28 01:13:45 UTC 2023,Tue Mar 28 01:28:45 UTC 2023,"4","8","15","30","14.828720522135587","7.4143602610677934","22.54066779480005","11.84529806766659","3.500461994499589","0.03670495317219335","0.018305177920270227","0.01947301829800471"
Tue Mar 28 01:28:45 UTC 2023,Tue Mar 28 01:43:46 UTC 2023,"4","8","15","30","14.863226601496637","7.431613300748318","21.79622855813359","10.975345364032545","3.9071403698006177","0.033978004711489436","0.016989002355744718","0.02125553002988454"
Tue Mar 28 01:43:46 UTC 2023,Tue Mar 28 01:58:46 UTC 2023,"4","8","15","30","14.994402620338889","7.497201310169444","21.985725357899597","11.805759304666815","4.081680797166579","0.03747018983448125","0.018735094917240624","0.023522746445973748"
Tue Mar 28 01:58:46 UTC 2023,Tue Mar 28 02:13:47 UTC 2023,"4","8","15","30","14.906639938247842","7.453319969123921","21.223294496099697","12.181788496933102","3.991699845865757","0.026244571391960084","0.013122285695980042","0.014166063021841037"
Tue Mar 28 02:13:47 UTC 2023,Tue Mar 28 02:28:47 UTC 2023,"4","8","15","30","14.979661776313247","7.489830888156623","22.37136827916644","11.762392928466822","2.936322046866796","0.02303450797010754","0.01151725398505377","0.01275943500575564"
Tue Mar 28 02:28:47 UTC 2023,Tue Mar 28 02:43:48 UTC 2023,"4","8","15","30","15.51901565429334","7.75950782714667","19.992754154867725","10.445051738367571","4.173349498200696","0.02120586630228262","0.01060293315114131","0.01567903881838703"
Tue Mar 28 02:43:48 UTC 2023,Tue Mar 28 02:58:48 UTC 2023,"4","8","15","30","15.252031299112193","7.626015649556097","20.449737813932977","10.896557330167465","4.164814699233587","0.020871325133347635","0.010435662566673817","0.011062933517243292"
Tue Mar 28 02:58:48 UTC 2023,Tue Mar 28 03:13:49 UTC 2023,"4","8","15","30","6.531335499740022","3.265667749870011","16.88453383826806","8.573806470199877","1.5236689962000431","0.0005266936907869892","0.0002633468453934946","0.000386210141372974"
Tue Mar 28 03:13:49 UTC 2023,Tue Mar 28 03:28:49 UTC 2023,"4","8","15","30","5.650250154006709","2.8251250770033547","8.064626631468613","4.1153220662342695","1.6399279265004831","0","0","0"
Tue Mar 28 03:28:49 UTC 2023,Tue Mar 28 03:43:50 UTC 2023,"4","8","15","30","5.420718750345534","2.710359375172767","8.23329843893104","4.379029098599373","1.4211879868681232","0","0","0"
Tue Mar 28 03:43:50 UTC 2023,Tue Mar 28 03:58:50 UTC 2023,"4","8","15","30","5.476539605732219","2.7382698028661094","7.298509534966433","3.9757962822002204","1.398061069266017","0","0","0"
Tue Mar 28 03:58:50 UTC 2023,Tue Mar 28 04:13:51 UTC 2023,"4","8","15","30","5.467583273427768","2.733791636713884","8.381662541133117","4.496475663466844","1.234396734133285","0","0","0"
