start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Wed Jan  4 10:15:42 UTC 2023,Wed Jan  4 10:30:42 UTC 2023,"4","12","8","24",,,,,"0.16160275730166662","0.053867585767222205","0.09109464922999998"	,"4096000000","12288000000","8192000000","24576000000","787521536","262507178.66666666","416567296","0","747341824","249113941.33333334","395612160","0"	,"5.7411111111111115","1.9137037037037037","4.07","0"
Wed Jan  4 10:30:42 UTC 2023,Wed Jan  4 10:45:42 UTC 2023,"4","12","8","24","20.301043030905163","6.767014343635054","8.213053553722222","1.1992764513910101","2.2326584492804598","0.7442194830934866","0.8115781680517241"	,"4096000000","12288000000","8192000000","24576000000","2013492653.4193547","671164217.8064516","854532096","462340096","1951022839.7419355","650340946.5806452","833232896","441135104"	,"317.71034482758625","105.90344827586208","107.24827586206897","104.53793103448277"
Wed Jan  4 10:45:42 UTC 2023,Wed Jan  4 11:00:43 UTC 2023,"4","12","8","24","22.64596062647926","7.548653542159753","8.203274658992598","7.0521534989185195","2.0955048780643675","0.6985016260214558","0.8092307461241378"	,"4096000000","12288000000","8192000000","24576000000","2129180605.9354835","709726868.6451612","939188224","563777536","2064114324.645161","688038108.2150537","916799488","544952320"	,"317.3379310344828","105.77931034482759","107.0896551724138","103.58390804597703"
Wed Jan  4 11:00:43 UTC 2023,Wed Jan  4 11:15:43 UTC 2023,"4","12","8","24","22.71897310162099","7.572991033873663","8.150031791929635","7.0547287133111105","2.4620327432206897","0.8206775810735631","0.8813199693954021"	,"4096000000","12288000000","8192000000","24576000000","2165523885.419355","721841295.1397849","847601664","569597952","2103394700.3870971","701131566.795699","826830848","549621760"	,"314.12643678160924","104.70881226053642","105.09885057471266","104.1080459770115"
Wed Jan  4 11:15:43 UTC 2023,Wed Jan  4 11:30:43 UTC 2023,"4","12","8","24","22.656170311508582","7.55205677050286","8.072169265818513","7.1181454866925815","2.4974477380505746","0.8324825793501915","0.9076428867551725"	,"4096000000","12288000000","8192000000","24576000000","2202833820.903226","734277940.3010752","861290496","568016896","2140559293.9354842","713519764.6451614","840699904","548253696"	,"318.7931034482759","106.26436781609195","107.216091954023","105.65057471264369"
Wed Jan  4 11:30:43 UTC 2023,Wed Jan  4 11:45:43 UTC 2023,"4","12","8","24","22.686060372121855","7.562020124040618","8.044832659866668","7.121963744040746","2.52999176072069","0.8433305869068966","0.8797572252850575"	,"4096000000","12288000000","8192000000","24576000000","2214498568.2580643","738166189.4193548","880611328","582004736","2151489271.7419353","717163090.5806451","860033024","561897472"	,"317.50804597701153","105.8360153256705","107.23908045977012","104.99080459770116"
Wed Jan  4 11:45:43 UTC 2023,Wed Jan  4 12:00:44 UTC 2023,"4","12","8","24","22.686997712957286","7.562332570985761","8.024751292607403","7.147346266948148","2.540248863205747","0.8467496210685823","0.8963564960827584"	,"4096000000","12288000000","8192000000","24576000000","2246591521.032258","748863840.3440859","885080064","581488640","2185277968.516129","728425989.5053763","862883840","562405376"	,"316.7080459770115","105.56934865900384","106.54942528735633","104.86896551724138"
Wed Jan  4 12:00:44 UTC 2023,Wed Jan  4 12:15:44 UTC 2023,"4","12","8","24","22.67416903434404","7.558056344781345","8.068132421362948","7.077553801596299","2.626532063887357","0.8755106879624522","0.9190529801609203"	,"4096000000","12288000000","8192000000","24576000000","2229776119.7419357","743258706.5806451","889221120","584421376","2168413018.83871","722804339.6129034","868466688","567242752"	,"314.90114942528743","104.96704980842914","106.5977011494253","104.0712643678161"
Wed Jan  4 12:15:44 UTC 2023,Wed Jan  4 12:30:44 UTC 2023,"4","12","8","24","22.708456181396663","7.569485393798888","7.960958180651855","7.236925193681478","2.578073083382759","0.8593576944609198","0.9241258027816097"	,"4096000000","12288000000","8192000000","24576000000","2240689317.16129","746896439.0537635","859910144","588529664","2176421429.952688","725473809.9842294","839720960","568729600"	,"316.28275862068966","105.42758620689656","105.70344827586207","105.10114942528736"
