,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,"0","0","0","0"
,"317.0960242673822","105.69867475579406","108.19665429240135","103.90642450419062"
,"317.64477910630126","105.88159303543375","108.86438766691914","103.71560987162667"
,"319.4945659476488","106.49818864921627","108.67133550081707","104.71907035111015"
,"320.65988721612797","106.88662907204264","108.88482848450643","105.52498156393916"
,"315.45061927798344","105.15020642599448","108.5918434324221","103.1588801201459"
,"319.1444102782991","106.38147009276636","108.86893007082743","104.87396693519149"
,"317.76928808294474","105.92309602764824","107.23139346189093","105.0736431411196"
,"321.7898885418838","107.26329618062793","109.34361127924315","106.18273082677736"
,"317.8863939665281","105.96213132217602","107.82417717192205","103.43275523982595"
,"316.74217285013924","105.58072428337974","109.04381262129638","103.71560987162664"
,"313.108807434565","104.36960247818831","106.71696621927774","102.75929183077662"
,"318.08616055088515","106.02872018362837","106.4970137510004","105.12314839653976"
,"318.5416191867086","106.18053972890286","106.83166191796192","105.4239620525818"
,"315.56432568429466","105.18810856143156","108.33065520769577","102.96806548758191"
,"318.8643416919922","106.28811389733073","108.52824977770612","103.90642450419062"
,"317.1800140545313","105.72667135151045","108.76104797800569","102.45398841867424"
,"319.42256212680525","106.47418737560174","110.30319410486821","104.48560303597306"
,"314.9696686852133","104.98988956173775","106.99518845866015","103.63254938451055"
,"317.21441265991535","105.7381375533051","108.43626609856335","103.84132304131589"
,"315.0220036631606","105.00733455438686","106.57160929421264","103.024187438336"
,"316.3963391760068","105.46544639200225","106.70901701243824","103.85928206555717"
,"316.75855978343395","105.58618659447798","108.71448833794577","103.04214646257732"
,"314.6564999466929","104.88549998223095","108.2534343412549","103.14316597393471"
,"319.0037886055057","106.33459620183524","109.9068693638704","104.0545864541815"
,"317.3183198402164","105.77277328007213","108.20119669630964","104.1286674291769"
,"315.41367274186035","105.13789091395344","106.46940520627624","103.97601572312571"
,"318.4625660810903","106.15418869369677","109.79217366518623","103.62581475042008"
,"315.0056176223927","105.00187254079759","106.07421606625553","105.13248743975622"
,"315.64471808947224","105.21490602982408","106.04241923889752","104.14252873563218"
,"315.8077097255622","105.2692365751874","107.09966374855071","103.42298850574713"
,"313.4706293188651","104.49020977295504","105.42465230737083","103.3977011494253"
,"320.4701466101326","106.82338220337752","108.76899718484518","105.83908045977013"
,"318.1988902724512","106.06629675748373","109.14601670923277","103.40459770114944"
,"316.07824318404136","105.35941439468046","106.59318571277699","104.68045977011495"
,"317.1242483010072","105.7080827670024","107.91275404813358","104.34022988505747"
,"315.71681191590545","105.23893730530182","105.97428318027328","103.9793103448276"
,"317.3648570081924","105.71814010259719","106.6325812273318","104.7977011494253"
,"313.35219868751557","104.45073289583853","105.69472742314777","103.41609195402299"
,"318.69874318736254","106.23291439578752","108.95161675058092","104.46666666666667"
,"313.4553430924323","104.4851143641441","106.61396378208745","103.20459770114944"
,"317.4505728856732","105.81685762855773","108.01609012705244","104.3816091954023"
,"315.95693186802805","105.31897728934268","107.22963226142303","104.94942528735633"
,"319.1520469352612","106.38401564508703","107.51296647549103","105.75402298850575"
,"315.9367607235713","105.31225357452377","107.73446187299655","103.98620689655172"
,"316.337713441974","105.445904480658","106.81587436151422","103.73563218390805"
,"315.50863324287036","105.1695444142901","105.85057471264369","104.37241379310346"
,"318.7448735911848","106.2482911970616","108.71039083256409","104.97241379310346"
,"316.9312956738947","105.64376522463157","108.23704280033145","103.52183908045977"
,"319.9666880304593","106.65556267681976","109.5873776856317","104.6896551724138"
,"315.04477061307784","105.01492353769261","106.39649475100882","103.19540229885058"
,"312.8963490944258","104.29878303147525","107.22738357718438","101.90114942528736"
,"318.85344103031713","106.28448034343904","106.98677436365045","105.49195402298852"
,"315.7685692616005","105.2561897538668","106.56627041102574","104.45517241379311"
,"316.75649941534857","105.5854998051162","106.28293619695776","104.51034482758621"
,"322.0186907222119","107.33956357407062","108.95662175669462","106.11954022988505"
,"313.0044588746217","104.33481962487389","105.0090565757711","103.53793103448277"
,"321.2229073334155","107.07430244447184","108.2528735632184","104.82068965517242"
,"318.0701525821428","106.0233841940476","106.79540229885058","104.52183908045977"
,"314.2609659807288","104.75365532690961","106.64947172785524","103.22988505747128"
,"312.0739850224448","104.02466167414826","104.88088157416891","102.77241379310347"
,"317.1148987569338","105.70496625231127","106.52183908045977","104.35172413793104"
,"318.92608101391573","106.30869367130524","107.85251779552489","104.57011494252875"
,"313.2871585280904","104.4290528426968","105.11474473498694","103.33333333333333"
,"317.88840168861714","105.96280056287239","106.93333333333334","104.29885057471266"
,"316.4624445681565","105.48748152271884","106.8923296256278","104.19310344827586"
,"318.9159386131431","106.3053128710477","108.41019148670634","103.45977011494253"
,"316.46236755718314","105.48745585239438","106.32903422384977","104.45747126436783"
,"314.76161990456717","104.92053996818905","107.18690726088897","103.09885057471266"
,"321.00248391470285","107.00082797156762","109.42547242044998","105.34022988505747"
,"315.9541948448449","105.31806494828163","106.64385001725864","104.13793103448278"
,"314.5326378411453","104.8442126137151","107.14643094459355","103.46896551724139"
,"320.5628894677485","106.85429648924949","108.41806188154156","105.47356321839081"
,"312.8480516656657","104.28268388855523","105.42506315991855","103.19540229885058"
,"319.3076664456365","106.43588881521217","107.54444805483192","105.88045977011494"
,"317.9566917217908","105.98556390726358","107.25324344592869","103.89655172413794"
,"315.9206656885924","105.30688856286415","107.47698752767286","103.60689655172413"
,"318.1041530471035","106.03471768236784","110.0719691390575","103.57471264367817"
,"316.27351988857174","105.42450662952393","107.1171980494913","103.73563218390805"
,"314.0747586421943","104.69158621406478","105.77360921690695","104.10344827586208"
,"314.498358386842","104.83278612894733","106.5190480420144","103.84827586206897"
,"320.04989198626185","106.68329732875395","109.05219083683659","104.84827586206897"
,"316.0318510200684","105.34395034002281","106.40886251432131","104.20919540229886"
,"315.2486250620537","105.08287502068455","107.20264805055942","103.20459770114944"
,"317.51316758281814","105.83772252760605","108.37983424948477","104.11264367816094"
,"315.5651993161984","105.18839977206613","106.82037172999149","104.1057471264368"
,"316.03826614917466","105.34608871639155","105.62528735632185","104.80689655172414"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
