start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Wed Jan  4 10:26:59 UTC 2023,Wed Jan  4 10:41:59 UTC 2023,"4","24","8","24","13.492988827538401","3.3732472068846002","4.276211918366668","1.5225483844586003","0.00005727175698057688","0.00001909167464038434","0.000022340115589135776"	,"4096000000","24576000000","8192000000","24576000000","6865225869.24138","1144204311.5402298","2304155648","0","6697470587.586207","1116245097.9310346","2255273984","0"	,"298.9255405822958","49.81904987382274","99.39835426376641","0"
Wed Jan  4 10:41:59 UTC 2023,Wed Jan  4 10:57:00 UTC 2023,"4","12",,,"13.878393174757532","4.62613105825251","5.9323743802629645","1.5837271662713968",,,	,"4096000000","12288000000",,,"8475755685.161289","2825251895.053763","4854505472","1116057600","8326671062.709679","2775557020.9032264","4796182528","1091731456"	,"320.29099053933305","106.76366351311103","108.2404158266894","105.44137931034483"
Wed Jan  4 10:57:00 UTC 2023,Wed Jan  4 11:12:00 UTC 2023,"4","12",,,"14.800151750954567","4.933383916984855","5.668355523355555","4.047649680985185",,,	,"4096000000","12288000000",,,"8393374422.709679","2797791474.2365594","5465341952","1484648448","8241674834.580645","2747224944.8602147","5401538560","1444319232"	,"319.16748452992476","106.38916150997491","109.03645004716614","104.79310344827586"
Wed Jan  4 11:12:00 UTC 2023,Wed Jan  4 11:27:00 UTC 2023,"4","12",,,"14.892034912887656","4.964011637629219","5.545479982540746","4.027339072755557",,,	,"4096000000","12288000000",,,"8517188971.354841","2839062990.4516134","5320445952","1544974336","8358665182.967743","2786221727.6559143","5263142912","1506291712"	,"319.89269091681354","106.63089697227116","109.40073689382498","104.09425287356322"
Wed Jan  4 11:27:00 UTC 2023,Wed Jan  4 11:42:00 UTC 2023,"4","12",,,"14.921691321017985","4.973897107005995","5.8128468585222235","4.496078176870369",,,	,"4096000000","12288000000",,,"8451429541.161291","2817143180.387097","5033033728","1525014528","8290546060.387096","2763515353.462365","4974538752","1474543616"	,"323.7392936880222","107.9130978960074","109.68182242365435","106.83908045977013"
Wed Jan  4 11:42:00 UTC 2023,Wed Jan  4 11:57:01 UTC 2023,"4","12",,,"14.573374995410862","4.857791665136954","5.504630091737029","4.292834478355561",,,	,"4096000000","12288000000",,,"8584654055.225807","2861551351.7419357","6012968960","1622777856","8419547202.064516","2806515734.0215054","5947166720","1583882240"	,"319.51162122728454","106.50387374242818","108.34610398590524","104.51494252873563"
Wed Jan  4 11:57:01 UTC 2023,Wed Jan  4 12:12:01 UTC 2023,"4","12",,,"14.71493035162587","4.9049767838752905","5.53036868533333","4.312608142533335",,,	,"4096000000","12288000000",,,"8945458803.612904","2981819601.204301","5959639040","1575251968","8772374395.87097","2924124798.6236563","5883174912","1520877568"	,"318.5246679976034","106.17488933253446","108.89478294013215","104.31954022988505"
Wed Jan  4 12:12:01 UTC 2023,Wed Jan  4 12:27:01 UTC 2023,"4","12",,,"14.785921201372918","4.92864040045764","5.513194047733325","4.4563495049259165",,,	,"4096000000","12288000000",,,"9211676738.064516","3070558912.688172","5911248896","1585913856","9028939776","3009646592","5805219840","1533857792"	,"317.9451358627232","105.98171195424105","107.97731977076913","104.08735632183908"
Wed Jan  4 12:27:01 UTC 2023,Wed Jan  4 12:42:02 UTC 2023,"4","12",,,"14.787555321859383","4.929185107286461","5.519196204162964","4.267138780392593",,,	,"4096000000","12288000000",,,"8487675837.935482","2829225279.3118277","5611356160","1692749824","8304533900.387096","2768177966.795699","5547954176","1639952384"	,"318.60912258886935","106.20304086295644","107.17004212909922","104.8735632183908"
Wed Jan  4 12:42:02 UTC 2023,Wed Jan  4 12:57:02 UTC 2023,"4","12",,,"14.980654814832757","4.993551604944252","5.455873996948153","4.380092205840736",,,	,"4096000000","12288000000",,,"8817434624","2939144874.6666665","4838825984","1659187200","8619514846.967743","2873171615.6559143","4757135360","1594769408"	,"317.33952559198457","105.77984186399485","107.24987041957075","103.92183908045978"
Wed Jan  4 12:57:02 UTC 2023,Wed Jan  4 13:12:02 UTC 2023,"4","12",,,"14.812837461324444","4.937612487108147","5.4389880540814675","4.307619562370356",,,	,"4096000000","12288000000",,,"9005848245.677418","3001949415.225806","5426466816","1610625024","8805060343.741936","2935020114.580645","5340098560","1562849280"	,"318.9350643110123","106.31168810367075","108.58334017308121","104.94712643678162"
Wed Jan  4 13:12:02 UTC 2023,Wed Jan  4 13:27:02 UTC 2023,"4","12",,,"14.539986758214447","4.846662252738149","5.540129673151845","4.324182317411114",,,	,"4096000000","12288000000",,,"9244103184.516129","3081367728.172043","5996408832","1719717888","9040927975.225807","3013642658.4086018","5919870976","1646292992"	,"319.6397962288868","106.54659874296226","108.47427898750743","104.39540229885058"
Wed Jan  4 13:27:02 UTC 2023,Wed Jan  4 13:42:03 UTC 2023,"4","12",,,"14.864521707750871","4.95484056925029","5.503486319533328","4.416097068066652",,,	,"4096000000","12288000000",,,"8992868550.193548","2997622850.064516","5676445696","1670324224","8784458520.774193","2928152840.2580643","5592571904","1617637376"	,"315.40696191347934","105.13565397115978","106.13339869508853","103.9425287356322"
Wed Jan  4 13:42:03 UTC 2023,Wed Jan  4 13:57:03 UTC 2023,"4","12",,,"14.876302636354493","4.958767545451497","5.343529690014813","4.345465716792603",,,	,"4096000000","12288000000",,,"9222215217.548386","3074071739.1827955","6518218752","1659633664","9007843790.451614","3002614596.8172045","6431571968","1595076608"	,"322.43798188188583","107.47932729396194","109.53453360602377","106.37471264367817"
Wed Jan  4 13:57:03 UTC 2023,Wed Jan  4 14:12:03 UTC 2023,"4","12",,,"15.175941903246297","5.0586473010820985","5.640370158866669","4.453945462825909",,,	,"4096000000","12288000000",,,"9210805214.967741","3070268404.9892473","5522132992","1697648640","8994758259.612904","2998252753.2043014","5440000000","1627643904"	,"319.05089750997377","106.35029916999126","108.1264367816092","103.41149425287358"
Wed Jan  4 14:12:03 UTC 2023,Wed Jan  4 14:27:04 UTC 2023,"4","12",,,"15.09155752309913","5.030519174366377","5.893359037514839","4.418439261862982",,,	,"4096000000","12288000000",,,"9291419912.258064","3097139970.7526884","5752963072","1696391168","9059002830.451612","3019667610.1505375","5653057536","1628377088"	,"318.7365833799257","106.24552779330857","107.17566383969579","104.62988505747127"
Wed Jan  4 14:27:04 UTC 2023,Wed Jan  4 14:42:04 UTC 2023,"4","12",,,"14.996763930816222","4.998921310272074","5.4858884886518355","4.308641970666617",,,	,"4096000000","12288000000",,,"8944756009.290321","2981585336.430107","5548527616","1773690880","8681246191.483871","2893748730.4946237","5450113024","1705521152"	,"316.2488019637165","105.41626732123883","106.8855835729119","103.58160919540231"
Wed Jan  4 14:42:04 UTC 2023,Wed Jan  4 14:57:04 UTC 2023,"4","12",,,"14.605543546654816","4.868514515551605","5.544732892918519","4.286454715748119",,,	,"4096000000","12288000000",,,"8975907014.193546","2991969004.7311826","6195122176","1789255680","8742362211.096775","2914120737.0322585","6083346432","1721995264"	,"320.10479552462215","106.70159850820738","108.3944506970359","105.13793103448278"
Wed Jan  4 14:57:04 UTC 2023,Wed Jan  4 15:12:04 UTC 2023,"4","12",,,"15.11851158382926","5.03950386127642","5.651055653992592","4.290203463307397",,,	,"4096000000","12288000000",,,"9789366007.741936","3263122002.580645","6188724224","1715527680","9547567500.387096","3182522500.1290326","6104109056","1648816128"	,"315.4454786617119","105.1484928872373","106.00409935136702","104.02298850574714"
Wed Jan  4 15:12:04 UTC 2023,Wed Jan  4 15:27:05 UTC 2023,"4","12",,,"14.686660420591231","4.89555347353041","5.513903602707432","4.243323352111124",,,	,"4096000000","12288000000",,,"9560033112.636559","3186677704.212186","5681795072","1667473408","9315744862.692472","3105248287.5641575","5587828736","1593315328"	,"319.33167543789216","106.44389181263074","107.7264367816092","105.18850574712644"
Wed Jan  4 15:27:05 UTC 2023,Wed Jan  4 15:42:05 UTC 2023,"4","12",,,"14.740425681821488","4.913475227273829","5.497539441859247","4.534907667596309",,,	,"4096000000","12288000000",,,"9082356905.565592","3027452301.8551974","6026063872","1692073984","8836323495.363441","2945441165.121147","5930426368","1623928832"	,"317.38207879245954","105.79402626415317","107.26713626372388","104.63218390804599"
Wed Jan  4 15:42:05 UTC 2023,Wed Jan  4 15:57:05 UTC 2023,"4","12",,,"14.780725097581012","4.926908365860338","5.516861945018496","4.4254509401111",,,	,"4096000000","12288000000",,,"8742351772.903225","2914117257.6344085","4835946496","1753468928","8491479436.387096","2830493145.4623656","4745342976","1666437120"	,"319.2901438735315","106.43004795784384","108.79359214939358","103.79080459770115"
Wed Jan  4 15:57:05 UTC 2023,Wed Jan  4 16:12:05 UTC 2023,"4","12",,,"14.606302708117896","4.868767569372633","5.502096157614789","4.303001380674067",,,	,"4096000000","12288000000",,,"8994916946.580645","2998305648.860215","4581466112","1691402240","8742716977.548388","2914238992.5161295","4503162880","1615360000"	,"314.1022537592863","104.70075125309545","106.5505296213553","103.53563218390805"
Wed Jan  4 16:12:05 UTC 2023,Wed Jan  4 16:27:06 UTC 2023,"4","12",,,"15.194148457497203","5.064716152499068","5.64712479168892","4.368172584562961",,,	,"4096000000","12288000000",,,"9369607795.612904","3123202598.5376344","5433536512","1682767872","9106527793.548388","3035509264.516129","5328052224","1599389696"	,"318.3141238241595","106.1047079413865","108.5945835942744","104.71724137931035"
Wed Jan  4 16:27:06 UTC 2023,Wed Jan  4 16:42:06 UTC 2023,"4","12",,,"14.841115924656027","4.947038641552009","5.556509878829659","4.287742045300008",,,	,"4096000000","12288000000",,,"9161898974.967743","3053966324.989248","5267632128","1686597632","8896670554.83871","2965556851.612904","5147303936","1600724992"	,"319.50542128433653","106.50180709477885","108.67553622686526","104.54942528735633"
Wed Jan  4 16:42:06 UTC 2023,Wed Jan  4 16:57:06 UTC 2023,"4","12",,,"14.96097525301226","4.986991751004086","5.629893294366667","4.438808759640745",,,	,"4096000000","12288000000",,,"9744840637.935486","3248280212.6451616","5422829568","1646645248","9468026219.35484","3156008739.7849464","5323644928","1558302720"	,"318.2113721570735","106.07045738569117","108.92401583523441","103.56781609195403"
Wed Jan  4 16:57:06 UTC 2023,Wed Jan  4 17:12:07 UTC 2023,"4","12",,,"14.975277247093413","4.991759082364471","5.458728208822248","4.491590446837008",,,	,"4096000000","12288000000",,,"9228926447.483871","3076308815.8279576","5209620480","1741369344","8945794014.967741","2981931338.3225803","5115387904","1663938560"	,"315.735835720848","105.24527857361599","105.7264367816092","104.91264367816093"
Wed Jan  4 17:12:07 UTC 2023,Wed Jan  4 17:27:07 UTC 2023,"4","12",,,"14.845396767505438","4.948465589168479","5.616059058892575","4.383930559914841",,,	,"4096000000","12288000000",,,"9519732669.935484","3173244223.311828","6031699968","1678016512","9232968274.580647","3077656091.526882","5911511040","1587150848"	,"319.06158865948737","106.35386288649579","107.3448275862069","105.04367816091955"
Wed Jan  4 17:27:07 UTC 2023,Wed Jan  4 17:42:07 UTC 2023,"4","12",,,"14.559171398333085","4.853057132777695","5.4815135185925845","4.291664820248143",,,	,"4096000000","12288000000",,,"9567257500.903227","3189085833.634409","5758320640","1748094976","9277700954.838709","3092566984.9462366","5633990656","1647124480"	,"315.8795290547655","105.2931763515885","106.85859936204828","104.41633199156779"
Wed Jan  4 17:42:07 UTC 2023,Wed Jan  4 17:57:07 UTC 2023,"4","12",,,"15.033641614261361","5.011213871420454","5.549006836885194","4.442001418033357",,,	,"4096000000","12288000000",,,"9052218929.548388","3017406309.8494625","6011883520","1732243456","8751712322.064514","2917237440.6881714","5874352128","1632841728"	,"314.64123828682676","104.88041276227558","106.50330725234396","103.77471264367817"
Wed Jan  4 17:57:07 UTC 2023,Wed Jan  4 18:12:08 UTC 2023,"4","12",,,"14.879874154925318","4.959958051641773","5.452064724399976","4.402645888011116",,,	,"4096000000","12288000000",,,"9570080966.193548","3190026988.731183","6241648640","1668481024","9271211305.290321","3090403768.430107","6136868864","1574383616"	,"316.1210832463137","105.37369441543788","107.06772699624132","104.06896551724138"
Wed Jan  4 18:12:08 UTC 2023,Wed Jan  4 18:27:08 UTC 2023,"4","12",,,"15.145127301117443","5.048375767039148","5.593331537459313","4.645024362159247",,,	,"4096000000","12288000000",,,"9379123332.129032","3126374444.0430107","5246013440","1672560640","9075467957.67742","3025155985.892473","5139058688","1575190528"	,"316.7315315427785","105.57717718092616","107.8142901634681","104.35862068965518"
Wed Jan  4 18:27:08 UTC 2023,Wed Jan  4 18:42:08 UTC 2023,"4","12",,,"15.072654603236689","5.024218201078896","5.6042256184445085","4.526005278999974",,,	,"4096000000","12288000000",,,"9552891904","3184297301.3333335","6006083584","1841348608","9238612298.32258","3079537432.774194","5884731392","1755181056"	,"320.0455622765798","106.68185409219328","107.95820595474073","104.53793103448277"
Wed Jan  4 18:42:08 UTC 2023,Wed Jan  4 18:57:09 UTC 2023,"4","12",,,"15.32185842584901","5.10728614194967","5.759698275892556","4.704687247951882",,,	,"4096000000","12288000000",,,"8855870430.967743","2951956810.3225813","5791567872","1775726592","8544295374.451613","2848098458.150538","5670940672","1669480448"	,"318.74069570645923","106.24689856881974","110.23724743059717","103.80229885057472"
Wed Jan  4 18:57:09 UTC 2023,Wed Jan  4 19:12:09 UTC 2023,"4","12",,,"14.895680526684334","4.965226842228112","5.519725497463003","4.434013718507399",,,	,"4096000000","12288000000",,,"9565639845.161291","3188546615.0537634","6440992768","1800265728","9252976838.193548","3084325612.7311826","6330126336","1711824896"	,"316.47312516177766","105.49104172059256","108.52599872499604","103.61149425287357"
Wed Jan  4 19:12:09 UTC 2023,Wed Jan  4 19:27:09 UTC 2023,"4","12",,,"14.831683079080232","4.943894359693411","5.348004545085132","4.4186286297184845",,,	,"4096000000","12288000000",,,"9841859418.83871","3280619806.27957","5610065920","1693138944","9522328344.774193","3174109448.2580643","5499494400","1594433536"	,"315.5597113868058","105.18657046226862","108.76660793852997","103.13563218390806"
Wed Jan  4 19:27:09 UTC 2023,Wed Jan  4 19:42:09 UTC 2023,"4","12",,,"14.970438515263034","4.990146171754344","5.505146582929646","4.450304376925946",,,	,"4096000000","12288000000",,,"9589223424","3196407808","6081564672","1747230720","9262878059.35484","3087626019.784946","5955612672","1648136192"	,"320.21843417060245","106.7394780568675","109.32877899818868","104.3816091954023"
Wed Jan  4 19:42:09 UTC 2023,Wed Jan  4 19:57:10 UTC 2023,"4","12",,,"15.070827934272339","5.023609311424113","5.662072294725954","4.503456177337083",,,	,"4096000000","12288000000",,,"8811333301.67742","2937111100.55914","6393204736","1768165376","8487568020.645161","2829189340.2150536","6280282112","1656274944"	,"318.0345784879519","106.01152616265063","107.83227963737718","104.89655172413794"
Wed Jan  4 19:57:10 UTC 2023,Wed Jan  4 20:12:10 UTC 2023,"4","12",,,"14.626475100948188","4.875491700316062","5.385338901492543","4.3574633155665925",,,	,"4096000000","12288000000",,,"9181402805.67742","3060467601.892473","5658099712","1707282432","8851376458.32258","2950458819.4408603","5545742336","1584025600"	,"317.0408998882805","105.68029996276015","108.42480793425747","104.19310344827586"
Wed Jan  4 20:12:10 UTC 2023,Wed Jan  4 20:27:10 UTC 2023,"4","12",,,"15.085207565533604","5.0284025218445345","5.823518609748162","4.295988982485142",,,	,"4096000000","12288000000",,,"9311393725.935484","3103797908.645161","6200500224","1807142912","8977891592.258064","2992630530.752688","6065307648","1700806656"	,"317.3925857417162","105.79752858057205","108.58109148884259","104.27586206896552"
Wed Jan  4 20:27:10 UTC 2023,Wed Jan  4 20:42:11 UTC 2023,"4","12",,,"14.817309020555339","4.939103006851779","5.578596067577774","4.363507325533364",,,	,"4096000000","12288000000",,,"9764959529.290321","3254986509.7634406","5944778752","1714827264","9423979156.64516","3141326385.548387","5798522880","1597349888"	,"316.569723529313","105.52324117643768","107.39041318448541","104.50114942528737"
Wed Jan  4 20:42:11 UTC 2023,Wed Jan  4 20:57:11 UTC 2023,"4","12",,,"14.567044070184359","4.85568135672812","5.509478470181434","4.247513007648134",,,	,"4096000000","12288000000",,,"9064105653.67742","3021368551.225806","5698383872","1809768448","8721701458.580647","2907233819.526882","5568208896","1685721088"	,"316.62092927961737","105.54030975987246","106.4347223830656","104.89885057471265"
Wed Jan  4 20:57:11 UTC 2023,Wed Jan  4 21:12:11 UTC 2023,"4","12",,,"14.847212297160027","4.949070765720009","5.399069717033396","4.508277686262887",,,	,"4096000000","12288000000",,,"9236316027.870966","3078772009.2903223","5340692480","1709285376","8891051899.870968","2963683966.623656","5219667968","1598144512"	,"314.02817083378227","104.6760569445941","105.90403290274777","103.91264367816093"
Wed Jan  4 21:12:11 UTC 2023,Wed Jan  4 21:27:11 UTC 2023,"4","12",,,"15.045447528310401","5.015149176103467","5.860531393144414","4.2681682139444295",,,	,"4096000000","12288000000",,,"8892278453.67742","2964092817.892473","5771571200","1688272896","8541053720.774193","2847017906.924731","5642592256","1568813056"	,"320.7112907456576","106.90376358188587","108.41244017094496","105.66896551724139"
Wed Jan  4 21:27:11 UTC 2023,Wed Jan  4 21:42:12 UTC 2023,"4","12",,,"14.699053516621852","4.899684505540617","5.552947535196264","4.4228421973223",,,	,"4096000000","12288000000",,,"9552873273.806452","3184291091.2688174","5471641600","1813057536","9194589283.096775","3064863094.365592","5345943552","1688510464"	,"312.86673774835083","104.28891258278362","105.77248487478764","103.52873563218391"
Wed Jan  4 21:42:12 UTC 2023,Wed Jan  4 21:57:12 UTC 2023,"4","12",,,"15.00097126506568","5.000323755021894","5.527261831885187","4.360165910551829",,,	,"4096000000","12288000000",,,"9851933993.290323","3283977997.763441","5836812288","1711923200","9493152008.258064","3164384002.752688","5707857920","1586335744"	,"319.8603204222543","106.6201068074181","108.06951582455315","105.71494252873563"
Wed Jan  4 21:57:12 UTC 2023,Wed Jan  4 22:12:12 UTC 2023,"4","12",,,"15.045633505668812","5.015211168556271","5.7061119843000565","4.467522226233268",,,	,"4096000000","12288000000",,,"9648538921.290323","3216179640.4301076","5320220672","1721487360","9273278596.129034","3091092865.3763447","5185536000","1590857728"	,"316.8376298335678","105.61254327785593","107.79854937379766","104.20919540229886"
Wed Jan  4 22:12:12 UTC 2023,Wed Jan  4 22:27:13 UTC 2023,"4","12",,,"15.215364078928053","5.071788026309351","5.722255573811061","4.277707661170387",,,	,"4096000000","12288000000",,,"9509104342.709679","3169701447.569893","5791866880","1696116736","9132664105.290321","3044221368.430107","5658025984","1569415168"	,"317.1725865334081","105.72419551113603","108.39557503915522","104.38390804597702"
Wed Jan  4 22:27:13 UTC 2023,Wed Jan  4 22:42:13 UTC 2023,"4","12",,,"14.78498531279888","4.928328437599626","5.787578687740757","4.344685442044499",,,	,"4096000000","12288000000",,,"8752154954.322578","2917384984.774193","4504891392","1768738816","8393215180.8","2797738393.6000004","4360581120","1639686144"	,"319.99837027514445","106.66612342504816","109.60986452801805","104.52873563218391"
Wed Jan  4 22:42:13 UTC 2023,Wed Jan  4 22:57:13 UTC 2023,"4","12",,,"14.819856499439041","4.939952166479681","5.628055322537074","4.549749633029677",,,	,"4096000000","12288000000",,,"8982387868.352688","2994129289.4508963","5801529344","1762959360","8600373437.384945","2866791145.794982","5670715392","1630076928"	,"319.8502642753228","106.61675475844093","109.96290795348371","104.69425287356322"
Wed Jan  4 22:57:13 UTC 2023,Wed Jan  4 23:12:13 UTC 2023,"4","12",,,"14.97414591398502","4.99138197132834","5.610200707892633","4.494109160277704",,,	,"4096000000","12288000000",,,"9148806969.806454","3049602323.268818","5719097344","1692024832","8759181444.129032","2919727148.0430107","5566619648","1559539712"	,"316.3494998919792","105.44983329732639","106.90582173105962","104.25747126436782"
Wed Jan  4 23:12:13 UTC 2023,Wed Jan  4 23:27:14 UTC 2023,"4","12",,,"14.989316089001548","4.996438696333849","5.626175457811095","4.404798326585161",,,	,"4096000000","12288000000",,,"9278170012.903225","3092723337.634409","5443133440","1870671872","8881088313.806452","2960362771.268817","5301252096","1751654400"	,"321.4529908592407","107.15099695308024","109.63460005464302","104.81149425287357"
Wed Jan  4 23:27:14 UTC 2023,Wed Jan  4 23:42:14 UTC 2023,"4","12",,,"15.06811095327729","5.0227036510924306","5.523265496962941","4.353987327592525",,,	,"4096000000","12288000000",,,"9120290221.419355","3040096740.4731183","5607284736","1729601536","8719185589.677418","2906395196.5591397","5476335616","1597136896"	,"319.50014457618073","106.50004819206023","108.13922503595083","104.48275862068967"
Wed Jan  4 23:42:14 UTC 2023,Wed Jan  4 23:57:14 UTC 2023,"4","12",,,"15.107742564704566","5.035914188234855","5.587141460807416","4.212841710211123",,,	,"4096000000","12288000000",,,"9427195045.16129","3142398348.387097","5974786048","1746042880","9017561484.387096","3005853828.129032","5824614400","1617104896"	,"316.88600004510727","105.62866668170241","108.39404602211874","103.45517241379311"
Wed Jan  4 23:57:14 UTC 2023,Thu Jan  5 00:12:15 UTC 2023,"4","12",,,"14.875999064324198","4.958666354774732","5.438293043914773","4.3234219071333495",,,	,"4096000000","12288000000",,,"9542281678.451612","3180760559.483871","6828843008","1833598976","9128043553.032257","3042681184.3440857","6680682496","1703723008"	,"315.7104246476794","105.23680821589313","106.03686142928858","104.52413793103449"
Thu Jan  5 00:12:15 UTC 2023,Thu Jan  5 00:27:15 UTC 2023,"4","12",,,"14.824345020773656","4.941448340257885","5.596725946670308","4.253030189248212",,,	,"4096000000","12288000000",,,"9460708587.630108","3153569529.2100363","6518288384","1807118336","9044646870.15914","3014882290.053046","6358597632","1691398144"	,"317.4178839467358","105.8059613155786","106.78340118811509","105.28045977011494"
Thu Jan  5 00:27:15 UTC 2023,Thu Jan  5 00:42:15 UTC 2023,"4","12",,,"15.15371737870436","5.051239126234787","5.7650571263222785","4.443173496092614",,,	,"4096000000","12288000000",,,"9488862721.101076","3162954240.3670254","5379727360","1775370240","9067168712.946236","3022389570.982078","5244588032","1635090432"	,"316.34266008717105","105.44755336239035","107.79093594924001","104.09655172413794"
Thu Jan  5 00:42:15 UTC 2023,Thu Jan  5 00:57:15 UTC 2023,"4","12",,,"14.878107480118487","4.959369160039496","5.801434066129581","4.333237314325891",,,	,"4096000000","12288000000",,,"9588537674.322578","3196179224.774193","5906939904","1834557440","9167956694.709677","3055985564.903226","5729275904","1677979648"	,"319.4329518223113","106.47765060743708","107.57548055794346","105.71724137931035"
