,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container
,"4096000000","12288000000",,,"5589600679.724138","931600113.2873563","2411679744","0","5437938299.586206","906323049.9310343","2395041792","0"
,"4096000000","12288000000",,,"5179618601.290322","1726539533.7634408","3177308160","458555392","5130060436.645161","1710020145.548387","3159777280","445513728"
,"4096000000","12288000000",,,"5130350592","1710116864","2977828864","716484608","5099910177.032258","1699970059.0107527","2959269888","702111744"
,"4096000000","12288000000",,,"5360330421.67742","1786776807.2258067","3281301504","739590144","5310938343.225806","1770312781.0752687","3261861888","726134784"
,"4096000000","12288000000",,,"5466644083.612904","1822214694.5376346","3280396288","813318144","5414928912.516129","1804976304.1720428","3259133952","800030720"
,"4096000000","12288000000",,,"5028403133.935484","1676134377.9784946","3357949952","850948096","4976391729.548388","1658797243.1827958","3332608000","837689344"
,"4096000000","12288000000",,,"5232915621.16129","1744305207.0537634","2922270720","967110656","5182958030.451613","1727652676.8172045","2900606976","949977088"
,"4096000000","12288000000",,,"5379394923.354838","1793131641.1182795","2955296768","1111887872","5323910771.612904","1774636923.8709679","2936569856","1090641920"
,"4096000000","12288000000",,,"5035787164.903226","1678595721.6344085","2873544704","1191325696","4984070936.774194","1661356978.9247313","2853240832","1176748032"
,"4096000000","12288000000",,,"5485342852.129032","1828447617.3763437","2921029632","1240854528","5429428356.129032","1809809452.0430107","2884591616","1225404416"
,"4096000000","12288000000",,,"5436929717.67742","1812309905.8924732","3226902528","1288712192","5380742375.225806","1793580791.7419353","3199856640","1273782272"
,"4096000000","12288000000",,,"5398875367.225807","1799625122.4086025","2911686656","1397727232","5340708335.483871","1780236111.827957","2893905920","1376497664"
,"4096000000","12288000000",,,"5636938322.580645","1878979440.860215","3002998784","1484566528","5576242869.67742","1858747623.2258065","2982346752","1466753024"
,"4096000000","12288000000",,,"6035420589.419355","2011806863.1397848","2863898624","1530675200","5975257616.51613","1991752538.83871","2845163520","1510383616"
,"4096000000","12288000000",,,"6124243406.451612","2041414468.8172042","2801156096","1667670016","6061365974.709679","2020455324.9032261","2783076352","1648762880"
,"4096000000","12288000000",,,"6334974018.064516","2111658006.0215054","3017187328","1711616000","6268819125.67742","2089606375.2258062","2997956608","1690017792"
,"4096000000","12288000000",,,"6675201783.741935","2225067261.2473116","3204186112","1781678080","6603217622.709679","2201072540.903226","3176898560","1755865088"
,"4096000000","12288000000",,,"6763060587.354838","2254353529.1182795","3388960768","1860427776","6689979755.354837","2229993251.784946","3361841152","1835048960"
,"4096000000","12288000000",,,"7151741126.193548","2383913708.731183","3576061952","1934311424","7078006255.483871","2359335418.4946237","3552464896","1910034432"
,"4096000000","12288000000",,,"7107714807.741936","2369238269.2473116","3506266112","2051305472","7033566901.677421","2344522300.55914","3478818816","2022977536"
