start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Wed Jan  4 10:24:36 UTC 2023,Wed Jan  4 10:39:37 UTC 2023,"4","12","8","24",,,,,"0","0","0"	,"4096000000","12288000000","8192000000","24576000000","332457301.3333333","110819100.44444445","210104320","0","320503808","106834602.66666667","202174464","0"	,"1.7611499819671284","0.587394393208191","1.7631733273796235","0"
Wed Jan  4 10:39:37 UTC 2023,Wed Jan  4 10:54:37 UTC 2023,"4","12","8","24","3.024350593795166","1.0081168645983887","1.2103376298555555","0.1453688392316347","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","757262005.6774194","252420668.5591398","290729984","198422528","730044878.4516128","243348292.8172043","285757440","189280256"	,"323.91026859351786","107.97008953117263","110.85509617972475","106.33333333333333"
Wed Jan  4 10:54:37 UTC 2023,Wed Jan  4 11:09:37 UTC 2023,"4","12","8","24","3.4443916218503707","1.14813054061679","1.2058912243444444","1.0945054412","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","782196868.1290324","260732289.37634408","300687360","249942016","754189609.2903227","251396536.43010756","294842368","240418816"	,"321.38041451445815","107.12680483815271","109.05857543399831","103.73563218390805"
Wed Jan  4 11:09:37 UTC 2023,Wed Jan  4 11:24:38 UTC 2023,"4","12","8","24","3.402712784739506","1.1342375949131687","1.1976415823222228","1.0803504714000003","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","779017182.9677418","259672394.32258064","293212160","250073088","750845027.0967741","250281675.69892472","286932992","239955968"	,"323.3658940598893","107.78863135329642","111.11724137931036","104.82988505747127"
Wed Jan  4 11:24:38 UTC 2023,Wed Jan  4 11:39:38 UTC 2023,"4","12","8","24","3.400646596853615","1.1335488656178718","1.1986248429185187","1.0684574702222225","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","785512249.8064516","261837416.6021505","293937152","249290752","758368057.8064516","252789352.6021505","287330304","239923200"	,"325.6176541050011","108.53921803500037","110.18620689655174","106.97701149425288"
Wed Jan  4 11:39:38 UTC 2023,Wed Jan  4 11:54:38 UTC 2023,"4","12","8","24","3.396477267859877","1.1321590892866258","1.1873101375555557","1.0688830178999995","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","786549594.8387096","262183198.27956986","299503616","249520128","760754968.7741935","253584989.59139782","293867520","240001024"	,"321.5353374053896","107.17844580179653","109.3241379310345","105.11494252873564"
Wed Jan  4 11:54:38 UTC 2023,Wed Jan  4 12:09:39 UTC 2023,"4","12","8","24","3.396937681961358","1.1323125606537858","1.1896568889148176","1.067628267092594","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","789695058.5806452","263231686.19354838","291106816","251723776","767628717.4193549","255876239.13978496","285700096","241561600"	,"322.8026373458149","107.60087911527164","110.82102815041262","104.12873563218392"
Wed Jan  4 12:09:39 UTC 2023,Wed Jan  4 12:24:39 UTC 2023,"4","12","8","24","3.3947079991652838","1.1315693330550947","1.2003987827444453","1.0695060919814785","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","808591095.7419355","269530365.24731183","306106368","251412480","785262790.1935484","261754263.3978495","299151360","241676288"	,"320.66359096582175","106.8878636552739","109.45057471264369","104.64367816091955"
Wed Jan  4 12:24:39 UTC 2023,Wed Jan  4 12:39:39 UTC 2023,"4","12","8","24","3.405171236758889","1.1350570789196297","1.1925361834962942","1.0675665067444446","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","809593558.7096775","269864519.56989247","311189504","251691008","786011036.9032257","262003678.96774188","304185344","242393088"	,"326.44277000384943","108.81425666794982","110.43218390804599","106.50344827586208"
Wed Jan  4 12:39:39 UTC 2023,Wed Jan  4 12:54:39 UTC 2023,"4","12","8","24","3.402725455441038","1.134241818480346","1.192233487207408","1.0700819090888858","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","812523387.8709676","270841129.29032254","311787520","248770560","789408734.967742","263136244.9892473","303280128","240549888"	,"325.17350947574823","108.39116982524942","110.1080459770115","107.35971637229996"
Wed Jan  4 12:54:39 UTC 2023,Wed Jan  4 13:09:40 UTC 2023,"4","12","8","24","3.3883067199608057","1.1294355733202686","1.2029242323777807","1.0723833886222227","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","815150245.1612903","271716748.38709676","311451648","253071360","791610929.548387","263870309.84946236","306171904","243863552"	,"330.3519847962086","110.11732826540289","114.58160919540231","107.30344827586208"
Wed Jan  4 13:09:40 UTC 2023,Wed Jan  4 13:24:40 UTC 2023,"4","12","8","24","3.403249611967531","1.1344165373225104","1.2002821326777782","1.0701177821222263","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","812012444.9032258","270670814.9677419","301056000","253624320","789058064.5161291","263019354.8387097","296124416","244432896"	,"327.09171499856217","109.0305716661874","111.34252873563219","107.33563218390805"
Wed Jan  4 13:24:40 UTC 2023,Wed Jan  4 13:39:40 UTC 2023,"4","12","8","24","3.397029956327777","1.1323433187759258","1.1906201072074072","1.0607540555740749","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","817788465.548387","272596155.1827957","310280192","257675264","795598319.483871","265199439.827957","304427008","248459264"	,"314.91447337150805","104.97149112383602","105.41102509564598","104.72183908045977"
Wed Jan  4 13:39:40 UTC 2023,Wed Jan  4 13:54:41 UTC 2023,"4","12","8","24","3.403653956118325","1.1345513187061085","1.1838524079074046","1.0585317199333346","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","822129697.0322578","274043232.34408593","308817920","252833792","801264408.7741935","267088136.2580645","301748224","247046144"	,"321.87529929122707","107.29176643040901","108.81782802685923","105.52413793103449"
Wed Jan  4 13:54:41 UTC 2023,Wed Jan  4 14:09:41 UTC 2023,"4","12","8","24","3.408747612646927","1.1362492042156422","1.208791537825925","1.0706308051444433","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","827242694.1935487","275747564.7311829","307920896","267026432","808357623.7419355","269452541.24731183","300523520","261767168"	,"314.97794530024163","104.99264843341388","107.56185334621863","102.7793103448276"
Wed Jan  4 14:09:41 UTC 2023,Wed Jan  4 14:24:41 UTC 2023,"4","12","8","24","3.3962291477909883","1.1320763825969962","1.2095668255148093","1.061312930351852","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","834766385.5483872","278255461.8494624","325259264","262782976","816141873.548387","272047291.18279564","319086592","258007040"	,"321.36978184074053","107.12326061358017","110.49851747292443","104.96781609195402"
Wed Jan  4 14:24:41 UTC 2023,Wed Jan  4 14:39:41 UTC 2023,"4","12","8","24","3.407270912857072","1.1357569709523574","1.1955716725814827","1.0735240139629647","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","832987532.3870968","277662510.79569894","308535296","267165696","813466524.9032259","271155508.30107534","302276608","261607424"	,"314.55389871631024","104.85129957210341","105.55183961680281","104.29171427192121"
Wed Jan  4 14:39:41 UTC 2023,Wed Jan  4 14:54:42 UTC 2023,"4","12","8","24","3.3933533544544434","1.1311177848181477","1.201346053896298","1.0579063186000053","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","831437923.0967739","277145974.3655913","316751872","264785920","811857457.548387","270619152.516129","309690368","258994176"	,"318.49417928400936","106.16472642800312","107.37011494252874","104.04597701149427"
Wed Jan  4 14:54:42 UTC 2023,Wed Jan  4 15:09:42 UTC 2023,"4","12","8","24","3.410941235500247","1.1369804118334157","1.2051214686036946","1.0757271297703686","0","0","0"	,"4096000000","12288000000","8192000000","24576000000","834037561.8064516","278012520.60215056","318320640","267223040","815396665.8064516","271798888.6021505","312475648","261455872"	,"319.8931839336688","106.63106131122294","107.2551724137931","105.47816091954024"
