start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container
Wed Jan  4 10:24:36 UTC 2023,Wed Jan  4 10:39:37 UTC 2023,"4","12","8","24",,,,,"0","0","0"
Wed Jan  4 10:39:37 UTC 2023,Wed Jan  4 10:54:37 UTC 2023,"4","12","8","24","3.024350593795166","1.0081168645983887","1.2103376298555555","0.1453688392316347","0","0","0"
Wed Jan  4 10:54:37 UTC 2023,Wed Jan  4 11:09:37 UTC 2023,"4","12","8","24","3.4443916218503707","1.14813054061679","1.2058912243444444","1.0945054412","0","0","0"
Wed Jan  4 11:09:37 UTC 2023,Wed Jan  4 11:24:38 UTC 2023,"4","12","8","24","3.402712784739506","1.1342375949131687","1.1976415823222228","1.0803504714000003","0","0","0"
Wed Jan  4 11:24:38 UTC 2023,Wed Jan  4 11:39:38 UTC 2023,"4","12","8","24","3.400646596853615","1.1335488656178718","1.1986248429185187","1.0684574702222225","0","0","0"
Wed Jan  4 11:39:38 UTC 2023,Wed Jan  4 11:54:38 UTC 2023,"4","12","8","24","3.396477267859877","1.1321590892866258","1.1873101375555557","1.0688830178999995","0","0","0"
Wed Jan  4 11:54:38 UTC 2023,Wed Jan  4 12:09:39 UTC 2023,"4","12","8","24","3.396937681961358","1.1323125606537858","1.1896568889148176","1.067628267092594","0","0","0"
Wed Jan  4 12:09:39 UTC 2023,Wed Jan  4 12:24:39 UTC 2023,"4","12","8","24","3.3947079991652838","1.1315693330550947","1.2003987827444453","1.0695060919814785","0","0","0"
Wed Jan  4 12:24:39 UTC 2023,Wed Jan  4 12:39:39 UTC 2023,"4","12","8","24","3.405171236758889","1.1350570789196297","1.1925361834962942","1.0675665067444446","0","0","0"
Wed Jan  4 12:39:39 UTC 2023,Wed Jan  4 12:54:39 UTC 2023,"4","12","8","24","3.402725455441038","1.134241818480346","1.192233487207408","1.0700819090888858","0","0","0"
Wed Jan  4 12:54:39 UTC 2023,Wed Jan  4 13:09:40 UTC 2023,"4","12","8","24","3.3883067199608057","1.1294355733202686","1.2029242323777807","1.0723833886222227","0","0","0"
Wed Jan  4 13:09:40 UTC 2023,Wed Jan  4 13:24:40 UTC 2023,"4","12","8","24","3.403249611967531","1.1344165373225104","1.2002821326777782","1.0701177821222263","0","0","0"
Wed Jan  4 13:24:40 UTC 2023,Wed Jan  4 13:39:40 UTC 2023,"4","12","8","24","3.397029956327777","1.1323433187759258","1.1906201072074072","1.0607540555740749","0","0","0"
Wed Jan  4 13:39:40 UTC 2023,Wed Jan  4 13:54:41 UTC 2023,"4","12","8","24","3.403653956118325","1.1345513187061085","1.1838524079074046","1.0585317199333346","0","0","0"
Wed Jan  4 13:54:41 UTC 2023,Wed Jan  4 14:09:41 UTC 2023,"4","12","8","24","3.408747612646927","1.1362492042156422","1.208791537825925","1.0706308051444433","0","0","0"
Wed Jan  4 14:09:41 UTC 2023,Wed Jan  4 14:24:41 UTC 2023,"4","12","8","24","3.3962291477909883","1.1320763825969962","1.2095668255148093","1.061312930351852","0","0","0"
Wed Jan  4 14:24:41 UTC 2023,Wed Jan  4 14:39:41 UTC 2023,"4","12","8","24","3.407270912857072","1.1357569709523574","1.1955716725814827","1.0735240139629647","0","0","0"
Wed Jan  4 14:39:41 UTC 2023,Wed Jan  4 14:54:42 UTC 2023,"4","12","8","24","3.3933533544544434","1.1311177848181477","1.201346053896298","1.0579063186000053","0","0","0"
Wed Jan  4 14:54:42 UTC 2023,Wed Jan  4 15:09:42 UTC 2023,"4","12","8","24","3.410941235500247","1.1369804118334157","1.2051214686036946","1.0757271297703686","0","0","0"
Wed Jan  4 15:09:42 UTC 2023,Wed Jan  4 15:24:42 UTC 2023,"4","12","8","24","3.4005653736298784","1.1335217912099596","1.20442200928519","1.059910593159266","0","0","0"
Wed Jan  4 15:24:42 UTC 2023,Wed Jan  4 15:39:43 UTC 2023,"4","12","8","24","3.396695162067283","1.1322317206890942","1.1895166776777775","1.0637581031037067","0","0","0"
Wed Jan  4 15:39:43 UTC 2023,Wed Jan  4 15:54:43 UTC 2023,"4","12","8","24","3.4007824816689904","1.1335941605563302","1.2044967567333247","1.0786652151925982","0","0","0"
Wed Jan  4 15:54:43 UTC 2023,Wed Jan  4 16:09:43 UTC 2023,"4","12","8","24","3.4072613894564743","1.1357537964854914","1.197848107955549","1.069686052888897","0","0","0"
Wed Jan  4 16:09:43 UTC 2023,Wed Jan  4 16:24:43 UTC 2023,"4","12","8","24","3.397286431296485","1.1324288104321616","1.1920825947629594","1.0759345024185072","0","0","0"
Wed Jan  4 16:24:43 UTC 2023,Wed Jan  4 16:39:44 UTC 2023,"4","12","8","24","3.401771693906099","1.1339238979686996","1.203597061377783","1.0878458132666748","0","0","0"
Wed Jan  4 16:39:44 UTC 2023,Wed Jan  4 16:54:44 UTC 2023,"4","12","8","24","3.400968655158059","1.1336562183860197","1.176906947899988","1.0679853709703755","0","0","0"
Wed Jan  4 16:54:44 UTC 2023,Wed Jan  4 17:09:44 UTC 2023,"4","12","8","24","3.404014829451998","1.1346716098173326","1.192123775888885","1.0639977730629686","0","0","0"
Wed Jan  4 17:09:44 UTC 2023,Wed Jan  4 17:24:45 UTC 2023,"4","12","8","24","3.405988983031607","1.1353296610105357","1.2077281587148145","1.072982366329638","0","0","0"
Wed Jan  4 17:24:45 UTC 2023,Wed Jan  4 17:39:45 UTC 2023,"4","12","8","24","3.4054967919295045","1.1351655973098347","1.1905121313740692","1.0767616214333329","0","0","0"
Wed Jan  4 17:39:45 UTC 2023,Wed Jan  4 17:54:45 UTC 2023,"4","12","8","24","3.405795353099383","1.1352651176997943","1.2072973490666672","1.0498242738962964","0","0","0"
Wed Jan  4 17:54:45 UTC 2023,Wed Jan  4 18:09:45 UTC 2023,"4","12","8","24","3.4016486354573052","1.1338828784857684","1.2056658981777824","1.0667025946851936","0","0","0"
Wed Jan  4 18:09:45 UTC 2023,Wed Jan  4 18:24:46 UTC 2023,"4","12","8","24","3.3945223967861278","1.131507465595376","1.2024610289444322","1.0602802939999998","0","0","0"
Wed Jan  4 18:24:46 UTC 2023,Wed Jan  4 18:39:46 UTC 2023,"4","12","8","24","3.405370088505896","1.1351233628352986","1.1968189551148194","1.0760495058444375","0","0","0"
Wed Jan  4 18:39:46 UTC 2023,Wed Jan  4 18:54:46 UTC 2023,"4","12","8","24","3.4150778641703727","1.138359288056791","1.2058325731259243","1.0722334799296396","0","0","0"
Wed Jan  4 18:54:46 UTC 2023,Wed Jan  4 19:09:47 UTC 2023,"4","12","8","24","3.3963289884791332","1.1321096628263776","1.1976452710962837","1.0833262047444467","0","0","0"
Wed Jan  4 19:09:47 UTC 2023,Wed Jan  4 19:24:47 UTC 2023,"4","12","8","24","3.4063841832001263","1.135461394400042","1.2077540655703667","1.0649572701259145","0","0","0"
Wed Jan  4 19:24:47 UTC 2023,Wed Jan  4 19:39:47 UTC 2023,"4","12","8","24","3.4044077755312525","1.1348025918437508","1.2026892267000222","1.0814104340111146","0","0","0"
Wed Jan  4 19:39:47 UTC 2023,Wed Jan  4 19:54:47 UTC 2023,"4","12","8","24","3.414343847460987","1.138114615820329","1.205447273003692","1.0648860234555388","0","0","0"
Wed Jan  4 19:54:47 UTC 2023,Wed Jan  4 20:09:48 UTC 2023,"4","12","8","24","3.4008252342708634","1.1336084114236211","1.206114802866688","1.0651281251185098","0","0","0"
Wed Jan  4 20:09:48 UTC 2023,Wed Jan  4 20:24:48 UTC 2023,"4","12","8","24","3.398018273332781","1.1326727577775937","1.2051281213555571","1.066337617518514","0","0","0"
Wed Jan  4 20:24:48 UTC 2023,Wed Jan  4 20:39:48 UTC 2023,"4","12","8","24","3.4097835363817257","1.136594512127242","1.1987132263222184","1.059356807922234","0","0","0"
Wed Jan  4 20:39:48 UTC 2023,Wed Jan  4 20:54:49 UTC 2023,"4","12","8","24","3.408068685490167","1.136022895163389","1.2022612704222007","1.0823784393333309","0","0","0"
Wed Jan  4 20:54:49 UTC 2023,Wed Jan  4 21:09:49 UTC 2023,"4","12","8","24","3.406510569812888","1.1355035232709627","1.192886388325914","1.0694067661222006","0","0","0"
Wed Jan  4 21:09:49 UTC 2023,Wed Jan  4 21:24:49 UTC 2023,"4","12","8","24","3.4074882951535788","1.1358294317178597","1.1905028007481533","1.0805446112925927","0","0","0"
Wed Jan  4 21:24:49 UTC 2023,Wed Jan  4 21:39:49 UTC 2023,"4","12","8","24","3.405323316697771","1.1351077722325904","1.1986505075482","1.0735988717666867","0","0","0"
