,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
,"316.3285774488789","105.44285914962629","107.58604871324665","104.22528735632186"
,"317.8892571553036","105.96308571843453","107.22068965517242","104.66896551724139"
,"318.81982386521605","106.27327462173868","108.85430662383673","104.71724137931035"
,"317.52622315402186","105.84207438467395","108.82507372873447","103.87586206896552"
,"315.7450056044578","105.24833520148593","107.15879870790603","103.51264367816093"
,"312.6455261890748","104.21517539635828","106.62023883275297","102.55632183908047"
,"315.5246123387768","105.17487077959227","107.88287503274645","103.81874880028323"
,"319.5261078585531","106.50870261951769","108.41806188154156","105.36551724137932"
,"316.2834316984068","105.4278105661356","105.74550066392402","105.01149425287358"
,"321.1748589813282","107.05828632710941","108.70589346408683","104.91724137931035"
,"316.3344112646778","105.44480375489259","106.86084804628692","104.49195402298852"
,"317.0442236396636","105.68140787988786","106.57295927184747","104.76321839080461"
,"316.06417906736766","105.35472635578923","106.45304264916982","103.77205595842774"
,"316.25177898223706","105.41725966074569","107.25637668338649","104.37471264367817"
,"318.00563607901944","106.00187869300647","107.27000389511134","104.82528735632185"
,"315.2561951882446","105.08539839608153","107.83780438364688","103.54252873563219"
,"315.80373589748376","105.26791196582792","106.48189681702402","103.53563218390805"
,"313.2832491350473","104.42774971168244","105.15172413793104","103.17701149425288"
,"314.96231844399904","104.98743948133301","105.32643678160919","104.69105407618292"
,"316.0526336250901","105.35087787503005","105.76987500440045","104.5793103448276"
,"317.0128113529032","105.6709371176344","108.0217717419324","103.92933292720073"
,"311.4443265368659","103.81477551228863","104.56386676675096","103.09655172413794"
,"318.8844349243665","106.29481164145548","107.31202113126298","104.66666666666667"
,"314.53218099072626","104.84406033024209","105.84482466888714","103.54252873563219"
,"313.01511754834144","104.3383725161138","106.39672674374368","102.36091954022989"
,"314.91492529627794","104.971641765426","107.37699426179523","103.51034482758621"
,"310.87197607113836","103.62399202371279","104.93634388723028","102.31724137931036"
,"313.8259914863603","104.60866382878677","105.88116390015341","103.85057471264369"
,"316.655656268569","105.55188542285633","108.54301259040804","103.43908045977012"
,"318.63435232114296","106.21145077371432","108.31021439010847","105.05747126436782"
,"315.9017644676659","105.30058815588865","107.39264880063502","103.40336854059409"
,"315.4648587873006","105.1549529291002","106.27635304017416","104.12183908045978"
,"318.3479989229282","106.11599964097606","107.28363110683621","105.08045977011494"
,"317.1477420552083","105.71591401840277","106.92705240003589","104.7080459770115"
,"313.61336755088195","104.53778918362732","106.40187329800837","101.89655172413794"
,"319.4225187115388","106.47417290384627","109.2822888264813","104.72873563218391"
,"316.5244077132786","105.50813590442618","106.29452265580731","104.84827586206897"
,"314.78919025867907","104.92973008622636","106.26045462649516","104.14252873563218"
,"317.10497429123393","105.70165809707798","106.7578478544523","104.51724137931035"
,"315.02814452054844","105.00938150684948","106.83733992284726","103.95632183908047"
,"316.32075427677586","105.44025142559195","107.48917488368609","103.64597701149427"
,"318.4221452267356","106.14071507557854","108.65203028420684","104.38390804597702"
,"315.85374760004765","105.28458253334921","106.05604645062236","104.43448275862069"
,"312.86487840578644","104.2882928019288","105.89706231383241","103.032183908046"
,"321.4644830338938","107.15482767796462","107.84802479244053","106.22335479317745"
,"319.46835142992506","106.48945047664168","107.45964925828221","104.73103448275863"
,"315.2278883039882","105.44599404227614","108.03638044341079","101.97311705597969"
,"315.98145774281807","105.32715258093936","106.97361204009579","104.1057471264368"
,"315.8017274653349","105.26724248844496","108.46919852689844","103.7560176761696"
,"317.2305522814656","105.74351742715518","107.54481933156255","104.38458352461564"
,"317.4259203171158","105.80864010570525","107.13940978274817","104.25662547689628"
